cnt,pdate,title,description,org_link,link
14,2024-02-15 10:22:00,"충남대병원 강예은 교수 연구팀, 국제학술지 논문 게재","뿐만 아니라 대사체 <b>데이터</b>, 단일세포 전사체 등의 다중 오믹스를 지놈인사이트 수석 <b>과학자</b> 박성열 박사 연구팀과 함께 생성 및 분석하고 이를 기반으로 여러 암대사리프로그래밍 연관 회로 중 '미토콘드리아 세린... ",https://daily.hankooki.com/news/articleView.html?idxno=1051904,https://daily.hankooki.com/news/articleView.html?idxno=1051904
15,2024-02-15 05:03:00,"AI <b>데이터</b> 우물에 ‘독’ 푸는 교수…“저작물 도둑질, 창작자 삶 뺏어”",“학계를 선택했고 후회한 적 없다”는 그는 최근 생성형 인공지능의 ‘<b>데이터</b> 도둑질’을 막는 도구를... 개발하던 <b>과학자</b>들을 좌절하게 하고 있다. 햄버거 가게에 간 손님이 햄버거에 피클을 더 넣고 양파는 빼달라고... ,https://www.hani.co.kr/arti/economy/economy_general/1128405.html,https://n.news.naver.com/mnews/article/028/0002676932?sid=101
16,2024-02-15 01:01:00,[기후변화는 지금] 2050년 아마존 생태계 무너진다,"<b>과학자</b>들은 최근 수십 년 간 지구 온난화와 같은 환경 스트레스가 아마존 생태계 시스템을 무너뜨릴 것이란 우려를 꾸준히 제기했다. 연구진은 6500만년 동안의 고대 기록과 1980년대 이후의 관측 <b>데이터</b>, 기후 모델을... ",https://biz.chosun.com/science-chosun/science/2024/02/15/C3Q3QZLUYRHELDQVVDAOD6PGTA/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000970411?sid=105
17,2024-02-14 19:02:00,세계 곳곳 쓰레기 매립지서 대규모 메탄 누출… 인류 위협한다,<b>과학자</b>들은 도시 인구가 증가함에 따라 관리되지 않는 매립지에서 배출되는 메탄가스가 2050년까지 두 배로 증가하면 기후 재앙을 피할 수 있는 기회를 날릴 수 있다고 경고한다. 새로운 <b>데이터</b>에 따르면 2019년 1월부터... ,https://www.newscj.com/news/articleView.html?idxno=3108897,https://www.newscj.com/news/articleView.html?idxno=3108897
18,2024-02-14 17:36:00,[문화 속 산업이야기]“우리도 AI 기업 맞다니까요?”…AI 워싱의 탐욕,"아직 검증되지 않은 시제품이지만 <b>과학자</b>들은 아무도 말하지 않는다. AI를 향한 탐욕은 현실에서도 진행... 전문적인 AI 개발 인력이 있는지, <b>데이터</b> 전략은 갖췄는지 등을 면밀히 따져봐야 한다.",https://kidd.co.kr/news/235709,https://kidd.co.kr/news/235709
19,2024-02-14 17:36:00,장보고기지 10년···&quot;한국은 남극 생태계 지키는 국가로 위상 높아졌죠&quot;,장보고 과학기지는 <b>과학자</b>들이 설립했다고 해도 과언이 아니다. 해외 자원 개발을 위해 국가 최고 통치자의... 이 외에도 다양한 관측 장비를 운영하면서 정상 작동 확인 및 모은 <b>데이터</b>를 한국으로 보내는 등 1년간... ,http://www.hellodd.com/news/articleView.html?idxno=103396,http://www.hellodd.com/news/articleView.html?idxno=103396
20,2024-02-14 17:28:00,"세계 AI 석학 얀 르쿤, “고양이보다 못한 현 AI, 미래 종말 없다”",구아현 기자 | 얀 르쿤(Yann LeCun) 메타 부사장 겸 AI 수석<b>과학자</b>가 13일(현지시각) 아랍에미리트(UAE)... 뿐”이라면 “<b>데이터</b> 학습만으론 인간 수준의 지능이나 고양이 수준의 지능에 도달할 수 없다”고 설명했다. 얀 르쿤... ,http://digitalchosun.dizzo.com/site/data/html_dir/2024/02/14/2024021480239.html,http://digitalchosun.dizzo.com/site/data/html_dir/2024/02/14/2024021480239.html
21,2024-02-14 10:32:00,"오커스(AUKUS) 동맹국, AI 군사 자율 시스템 테스트 진행",실험 중에 어떤 무기도 탑재하지 않은 것으로 알려진 이 차량은 남호주의 실험장에서 호주 <b>과학자</b>들에... 성능 <b>데이터</b>를 분석하면 시스템 오류 또는 중단을 방지하는 데 필요한 보호 및 보호 장치를 강화하는 데... ,http://www.digitalbizon.com/news/articleView.html?idxno=2334612,http://www.digitalbizon.com/news/articleView.html?idxno=2334612
22,2024-02-14 08:02:00,"반도체 국가전략기술 확대, 차세대 배터리 기술개발…신성장 프로젝트 '속도'","빅<b>데이터</b> 구축 사업을 시작하고 463억 원을 투자해 합성생물학 핵심기술 개발에 나선다. 바이오 분야 국가첨단전략산업 특화단지 신규 지정, 바이오 소부장 기술개발 로드맵 수립, 의사<b>과학자</b> 양성 위해 특화... ",https://www.etoday.co.kr/news/view/2330555,https://www.etoday.co.kr/news/view/2330555
23,2024-02-14 05:03:00,정보 수집 통제·워터마크까지… 세계는 ‘AI 목에 방울 달기’ 전쟁 [AI 블랙...,"그해 머스크는 올트먼과 오픈AI를 공동 창립하면서 구글 딥마인드의 수석<b>과학자</b> 일리야 수츠케버까지... 사용된 <b>데이터</b>의 내역, 소프트웨어가 인종적 편견을 고착화하는 등 해악을 끼치지 않았다는 증거를 EU에... ",https://www.seoul.co.kr/news/newsView.php?id=20240214008002&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003430178?sid=101
24,2024-02-13 21:24:00,글로벌 R&amp;D 예산 3.6배 증액… AI·디지털 사회로 대전환,"바이오 분야 의사<b>과학자</b> 육성을 위해 과학기술의학전문대학원 신설도 추진한다. 또한 과기정통부는 올해 국산 저전력·고성능 AI 반도체로 <b>데이터</b>센터를 구축하고, 국산 AI 반도체로 ‘온디바이스 AI’(기기 자체에서... ",http://www.segye.com/newsView/20240213513641?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003903953?sid=101
25,2024-02-13 19:10:00,2024년 과기정통부 주요정책 추진계획 발표,의사<b>과학자</b> 육성을 위해 과학기술원(KAIST) 등 4대 과기원에 과학기술의학전문대학원 신설을 추진한다.... 양자인터넷의 <b>데이터</b> 유선 전송 거리를 1천배 늘려 100㎞ 수준으로 만들겠다는 목표를 밝혔다. 과기정통부는... ,http://www.digitalbizon.com/news/articleView.html?idxno=2334624,http://www.digitalbizon.com/news/articleView.html?idxno=2334624
26,2024-02-13 17:49:00,&quot;세계최고 R&amp;D허브 조성···3대 특례도 시행&quot;,"젊은<b>과학자</b>지원프로그램 합리적인 성과보상도 눈길을 끈다. 연구자에게 주던 기술료를 10% 올린 60%를... AI 반도체 부문에서는 국산 저전력·고성능 AI반도체로 <b>데이터</b> 센터 구축, 클라우드 기반 AI 서비스 실증, 관련 HW... ",https://zdnet.co.kr/view/?no=20240213172505,https://n.news.naver.com/mnews/article/092/0002321171?sid=105
27,2024-02-13 17:32:00,[일문일답] &quot;출연연 통폐합 NO…단통법 폐지해도 선택약정 25% 유지&quot;,<b>과학자</b>로 만드는 방식은 4대 과기원이 다소 의견 차가 있어 보인다. 저희가 적극적으로 조율해서 가장 효과적인 방법이 무엇인지 알아보고 관련 정책을 추진할 수 있도록 하겠다. Q. 주요 추진계획에 양자 인터넷 <b>데이터</b>... ,https://www.ddaily.co.kr/page/view/2024021317193054567,https://n.news.naver.com/mnews/article/138/0002166732?sid=105
28,2024-02-13 17:30:00,"정부, AI 일상화 지원에 7천억 투자·과기의전원 신설 추진",의사<b>과학자</b> 육성을 위해 과학기술원(KAIST) 등 4대 과기원에 과학기술의학전문대학원 신설을 추진한다.... 양자인터넷의 <b>데이터</b> 유선 전송 거리를 1천배 늘려 100㎞ 수준으로 만들겠다는 목표를 밝혔다. 과기정통부는... ,https://www.nocutnews.co.kr/news/6094755,https://n.news.naver.com/mnews/article/079/0003863127?sid=105
29,2024-02-13 17:30:00,의<b>과학자</b> 키울 과기의전원 추진,의사<b>과학자</b> 육성을 위해 과학기술의학전문대학원(과기의전원) 설립을 추진한다. 양자와 인공지능(AI)... 양자인터넷 <b>데이터</b>의 유선 전송 가능 거리를 기존 100ｍ에서 100㎞ 수준으로 1000배 확대하는 장거리 전송 기술... ,https://www.mk.co.kr/article/10941783,https://n.news.naver.com/mnews/article/009/0005257930?sid=105
30,2024-02-13 17:20:00,"남친 보려고 전용기 띄워…테일러 스위프트, 탄소 90톤 배출 '논란'",폴리 이사를 비롯한 많은 기후 <b>과학자</b> 및 정책 전문가들과 함께 항공 여행을 위한 탄소배출권을 구입하는... 한편 지난 2022년 전 세계 유명인의 전용기를 추적하는 ‘셀러브리티제트’가 1500개의 항공편 <b>데이터</b>를... ,https://www.vegannews.co.kr/news/article.html?no=17919,https://www.vegannews.co.kr/news/article.html?no=17919
31,2024-02-13 17:05:00,AI폰에 AI워치·AI자동차까지? AI로 전 산업과 일상 고도화,양자인터넷 <b>데이터</b>의 유선 전송 가능 거리를 기존 100m에서 100㎞ 수준으로 1000배 확대한다. 첨단바이오 분야에서는 의사<b>과학자</b> 육성을 위한 과학기술의학전문대학원(과기의전원) 설립을 추진한다. KAIST... ,http://news.mt.co.kr/mtview.php?no=2024021316423475896,https://n.news.naver.com/mnews/article/008/0004998069?sid=105
32,2024-02-13 16:40:00,내년 '과기의전원' 신설 추진…한계도전 과제엔 '예타 면제' 적극 검토,한국과 미국에 고난도 AI연구를 수행하는 AI 연구거점을 각각 세우고 의사<b>과학자</b> 육성을 위한... 양자인터넷 <b>데이터</b>의 유선 전송 가능 거리를 기존 100m에서 100㎞ 수준으로 1000배 확대한다. 해외 유수 연구진과 함께... ,http://news.mt.co.kr/mtview.php?no=2024021315545831042,https://n.news.naver.com/mnews/article/008/0004998045?sid=105
33,2024-02-13 16:37:00,"과기부, AI 일상화 사업 지원하고 과기의전원 신설 추진",의사<b>과학자</b> 육성을 위해 과학기술원(KAIST) 등 4대 과기원에 과학기술의학전문대학원 신설을 추진한다.... 양자인터넷의 <b>데이터</b> 유선 전송 거리를 1천배 늘려 100㎞ 수준으로 만들겠다는 목표를 밝혔다. 과기정통부는... ,https://www.hani.co.kr/arti/economy/economy_general/1128173.html,https://n.news.naver.com/mnews/article/028/0002676686?sid=101
34,2024-02-13 15:04:00,글로벌 R&amp;D 예산 3.6배 증액… AI·차세대 반도체·6G 집중 투자,"재외 한인<b>과학자</b> 네트워크를 활용해 글로벌 우수연구자 유치하고, 입국부터 정착까지 전주기 지원... 국내 최초 자체 개발 양자컴퓨터(20큐비트)를 신약개발 등에 시범 활용하고, 양자인터넷 <b>데이터</b>의 유선전공 가능... ",http://www.segye.com/newsView/20240213508976?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003903797?sid=101
35,2024-02-13 15:01:00,"과기부, 올 100㎞ 양자인터넷 시연…과기의전원 신설도 추진",양자인터넷의 <b>데이터</b> 전송거리를 기존 100m에서 100㎞로 1000배 늘리고 이를 실제로 시연한다. 이미 수천... 바이오 분야에서는 정부의 의대 정원 확대에 맞춰 의료·바이오 연구에 특화한 의사<b>과학자</b> 양성기관... ,https://www.sedaily.com/NewsView/2D5CEJCTMU,https://n.news.naver.com/mnews/article/011/0004298933?sid=105
36,2024-02-13 15:01:00,올해 과기의전원 만들고 100㎞ 양자인터넷 시연한다,"정부가 올해 과학기술의학전문대학원(과기의전원)을 신설해 의사<b>과학자</b> 양성에 나서는 한편 100㎞의... 비슷한 원리의 차세대 통신인 양자암호통신, 이른바 양자인터넷 역시 <b>데이터</b> 전송거리를 기존 100m에서 100㎞로... ",https://www.sedaily.com/NewsView/2D5CF889S7,https://n.news.naver.com/mnews/article/011/0004298932?sid=105
37,2024-02-13 15:01:00,의사 증원 힘입어 과기의전원 신설 ‘본격화’...연내 양자 통신 전송거리 10...,"의사<b>과학자</b> 육성도 시동 정부가 양자, 인공지능(AI), 첨단바이오를 3대 게임체인저 기술로 지목하고... 현재 100m 수준인 양자인터넷의 <b>데이터</b> 유선 전송 거리도 1000배 늘려 100㎞ 수준으로 높인다. 100㎞는 현재 양자통신의... ",https://biz.chosun.com/science-chosun/science/2024/02/13/VKKCCUEHVRFPTNZL3FAAT7LAKQ/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000970032?sid=105
38,2024-02-13 09:33:00,토성 위성 미마스 지하엔 2500만살 ‘젊은 바다’가 있다,"현재 <b>과학자</b>들이 지하 바다를 갖고 있을 것으로 추정하는 천체는 목성 위성 칼리스토와 유로파, 가니메데... 프랑스 파리천문대가 중심이 된 국제연구진은 토성 탐사선 카시니의 과거 관측 <b>데이터</b>를 분석한 결과... ",https://www.hani.co.kr/arti/science/science_general/1128111.html,https://n.news.naver.com/mnews/article/028/0002676624?sid=105
39,2024-02-13 07:32:00,"씨젠, 주가 급락…종가급변에 투자주의종목 지정","씨젠은 전 세계 <b>과학자</b>와 전문가들이 씨젠의 개발 자동화 시스템(SGDDS)을 활용해 사람과 동·식물의 질병을... 이를 통해 SGDDS에서 생성된 방대한 <b>데이터</b>가 연구자에게 신뢰할 수 있는 연구 환경을 제공하고, 개인정보... ",http://www.thebigdata.co.kr/view.php?ud=202402130729389265cd1e7f0bdf_23,http://www.thebigdata.co.kr/view.php?ud=202402130729389265cd1e7f0bdf_23
40,2024-02-12 19:16:00,"美 EPA, 미국 수돗물 시스템 33%, '영원한 화학물질'에 노출",EPA의 최근 <b>데이터</b> 공개로 바이든 행정부는 이 약속을 빨리 지켜야 할 의무를 지게 됐다. EPA의 제5차... EWG의 수석 <b>과학자</b>인 타사 스토이버(Tasha Stoiber) 박사는 &quot;매주마다 나오는 새로운 보고서에서 PFAS가 인간의... ,https://www.newsquest.co.kr/news/articleView.html?idxno=218076,https://www.newsquest.co.kr/news/articleView.html?idxno=218076
41,2024-02-12 17:02:00,AI에 돈 '쏟아붓는' 클라우드 거인들,"이 클라우드 2.0 단계에서는 거대 기업들이 자사의 소프트웨어와 <b>데이터</b> 저장 및 기타 도구가 AI를 얼마나... UC 버클리의 컴퓨터 <b>과학자</b>로 이 신흥 산업을 연구하는 벤 레흐트는 아마존과 앤스로픽, 마이크로소프트와... ",https://www.fortunekorea.co.kr/news/articleView.html?idxno=34185,https://www.fortunekorea.co.kr/news/articleView.html?idxno=34185
42,2024-02-12 16:12:00,[서강석의 흔들의자]꿈,"많은 사람이 어린 시절 <b>과학자</b>도 되고 하고 나이팅게일이 되기도 하는, 꽤 괜찮아 보이는 가치 실현에 대한... &quot;AI는 이미 존재한 작품의 <b>데이터</b>를 바탕으로 창조합니다. 세상 어떤 AI도 제가 다음에 뭘 쓸지는 몰라요. AI는... ",https://www.ccdn.co.kr/news/articleView.html?idxno=959855,https://www.ccdn.co.kr/news/articleView.html?idxno=959855
43,2024-02-12 15:50:00,[현장르포] AI로 전세계 빨아들이는 영화도시 '깐느',"부족하다고 <b>과학자</b>들에게 따져물었다. <b>과학자</b>들은 기계가 사람의 감정을 인식해 반응하는 경로가... 그는 미국의 디지털 거대 공룡의 <b>데이터</b> 독점 위험에 대응하기 위해 유럽 국가들의 협력을 강조하며, 유럽만의... ",http://www.hellodd.com/news/articleView.html?idxno=103366,http://www.hellodd.com/news/articleView.html?idxno=103366
44,2024-02-12 15:28:00,"&quot;中 단절은 우리 팔 자르는격&quot;… 美과기계, 과기협정 연장 촉구","보건 <b>데이터</b> 접근을 제한하는 조치를 완화하려는 포석으로 해석된다. 중국 정부도 협정 갱신을 원하면서, 중국의 글로벌 입지와 영향력이 협정 체결 당시보다 상당히 높아진 만큼 중국 <b>과학자</b>들이 미국의 감시나 통제를... ",https://www.dt.co.kr/contents.html?article_no=2024021202109931731002&ref=naver,https://n.news.naver.com/mnews/article/029/0002854691?sid=105
45,2024-02-12 09:07:00,"DGIST·아산병원, 모세혈관 세포 '구멍 조절 현상' 밝혔다","서 교수팀은 단일 분자 추적(Single Molecule Tracking) 광학현미경 영상기술, 영상 <b>데이터</b>의 머신러닝 분석... 또 PLVAP 단백질과 혈관 질환을 연구하는 의사 <b>과학자</b>인 아산병원 안과 이준엽 교수팀은 이번 연구에서 정상... ",http://www.newsis.com/view/?id=NISX20240207_0002619836&cID=10810&pID=10800,https://n.news.naver.com/mnews/article/003/0012368304?sid=102
46,2024-02-11 16:24:00,&quot;이제 인간 질병 바이러스가 동물을 공격하고 있다!&quot;… '역인수공통전염병' 위...,"미국 플로리다 대학의 <b>과학자</b>들이 주도한 이 연구는 가축과 야생 동물의 건강과 인간 건강에 대한 잠재적인... 그리고 이러한 질병을 더 잘 이해하고 관리하기 위해 인간과 동물의 건강 <b>데이터</b>를 결합하는, 보다 통합적인... ",https://www.newsquest.co.kr/news/articleView.html?idxno=218070,https://www.newsquest.co.kr/news/articleView.html?idxno=218070
47,2024-02-11 09:06:00,지구온난화 1900년대 초반에 시작...&quot;이젠 정말 시간이 없다&quot;,일각에서는 특정 지역에 서식한 생물 <b>데이터</b>를 토대로 지금까지의 지구온난화에 대한 기록을 부정하는... 한편 마이클 오펜하이머 프린스턴대학교 기후<b>과학자</b>는 설령 1800년대 중반 기온이 지금까지 알려진 것과... ,https://www.eroun.net/news/articleView.html?idxno=40400,https://www.eroun.net/news/articleView.html?idxno=40400
48,2024-02-11 08:25:00,인간은 언어를 어떻게 배울까…AI에 아기처럼 말 가르쳤더니,음성 <b>데이터</b>로 학습시킨 AI 시스템을 개발해 1일(현지시간) 국제학술지 '사이언스'에 발표했다. 인간은 두 살... 연구를 이끈 캘리포니아 대학교의 인지<b>과학자</b> 헤더 보르트펠드는 “언어 학습 과정이 이처럼 '특별한... ,https://www.etnews.com/20240209000001,https://n.news.naver.com/mnews/article/030/0003180150?sid=104
49,2024-02-11 05:02:00,CES 2024서 눈길 끈 12가지 아이템은[놓치지 말아야할 한경비즈니스⑤],"맞춰서 말려줄게 이번 CES 2024에서 뷰티 기업 최초로 기조연설을 진행한 로레알은 드론 엔지니어와 <b>과학자</b>들... SDV(Software Defined Vehicle·소프트웨어 중심 자동차)와 경로, 정보 등 외부 <b>데이터</b> 간 연결성을 강화해 여러... ",https://magazine.hankyung.com/business/article/202402071443b,https://n.news.naver.com/mnews/article/050/0000071726?sid=101
50,2024-02-10 15:00:00,미 조사관 &quot;단돈 25만엔으로 피묻은 일본 세균전 자료 챙겼다&quot;[김재명의 전쟁...,"이 <b>데이터</b>는 일본인 <b>과학자</b>들이 거액의 비용과 오랜 세월에 거쳐 입수한 것으로, 인간 감염에 필수적인 각 세균의 양(量)에 관한 정보이다. 이런 정보는 인체실험을 꺼림칙하게 여기는 우리 연구실에서는 알아낼 수... ",https://www.pressian.com/pages/articles/2024020917261352873?utm_source=naver&utm_medium=search,https://n.news.naver.com/mnews/article/002/0002319098?sid=104
51,2024-02-10 09:32:00,"하루 3잔의 차, 몸에 일어나는 놀라운 변화는?... 노화 방지, 수명 연장, 고혈...",중국 청두(成都)에 위치한 쓰촨 대학교 <b>과학자</b>들이 실시한 포괄적인 연구에는 37세에서 73세 사이의 영국인 5998명과 30세에서 79세 사이의 중국인 참가자 7931명이라는 두 집단의 <b>데이터</b>를 분석하는 작업이 포함되었다.... ,https://www.newsquest.co.kr/news/articleView.html?idxno=218066,https://www.newsquest.co.kr/news/articleView.html?idxno=218066
52,2024-02-10 07:00:00,'해면' 연구해보니…&quot;지구온난화 '80년 일찍' 진행됐다&quot;,일각에서는 특정 지역에 서식한 생물 <b>데이터</b>를 토대로 지금까지의 지구온난화에 대한 기록을 부정하는 것은... 한편 마이클 오펜하이머 프린스턴대학교 기후<b>과학자</b>는 설령 1800년대 중반 기온이 지금까지 알려진 것과... ,http://www.newsis.com/view/?id=NISX20240208_0002621651&cID=10101&pID=10100,https://n.news.naver.com/mnews/article/003/0012367397?sid=104
53,2024-02-09 18:06:00,습진에 악영향 미치는 '10가지' 기후 변화 규명,"수년간, <b>과학자</b>들은 기후 변화로 인한 영향이 건강에 어떤 영향을 미치는지 연구해 왔다. 예를 들어 극심한... 연구진은 총 18개의 연구로부터 얻은 <b>데이터</b>를 분석했다. 전반적으로, 연구에 포함된 대부분의 기후... ",https://mdtoday.co.kr/news/view/1065575202941861,https://mdtoday.co.kr/news/view/1065575202941861
54,2024-02-09 17:11:00,암 잡는 '암 돌연변이'... '강화 CAR-T 치료제' 개발 가능성,<b>과학자</b>들은 고형암에도 효과적인 CAR-T 세포치료제를 찾고 있다. 캘리포니아대 샌프란시스코캠퍼스(UCSF)... 그는 돌연변이가 발생한 이들 T세포가 암세포로 변할 위험은 있지만 생쥐실험의 <b>데이터</b>는 그 같은 우려를... ,https://kormedi.com/?p=1662160,https://n.news.naver.com/mnews/article/296/0000074402?sid=103
55,2024-02-09 10:32:00,바닷속 산호에 산업오염 흔적이 그대로,"또 나무 나이테처럼 산호의 긴 수명과 느리고 규칙적인 성장은 <b>과학자</b>들에게 과거의 연간, 월간, 주간 환경 <b>데이터</b>를 제공할 수 있다. 산호는 지금까지 주로 수온이나 화학적 성질 같은 과거 기후 조건을 측정하는데... ",http://www.fnnews.com/news/202402091028256735,https://n.news.naver.com/mnews/article/014/0005140657?sid=105
56,2024-02-09 09:01:00,"‘뭐먹을랩’→‘송스틸러’, ‘아육대’ 빈자리 채울 설 파일럿 [MK초점]",음식 <b>데이터</b>를 가장 많이 가진 서울대 푸드비즈니스랩 문정훈 교수를 비롯해 음식 속 과학적 원리를... 음식에 해박한 지식을 가진 셰프부터 과학적인 원리를 설명해줄 <b>과학자</b>까지 모두 모인 ‘뭐먹을랩’이 파일럿에서... ,https://www.mk.co.kr/article/10937897,https://n.news.naver.com/mnews/article/009/0005256831?sid=106
